BHT_SIZE_BITS,PHT_SIZE_BITS,HIST_LEN,trace,instructions,branches,cond_branches,predictions,extra_cycles,short_misp,block_short_misp,mispredictions,p1_latency,p2_latency,energy_per_inst
6,11,5,test,2004999,396599,334545,2004999,101541,0,0,30700,0.92,0.933333,203
6,11,6,test,2004999,396599,334545,2004999,109175,0,0,28871,0.943333,0.956667,230
6,11,7,test,2004999,396599,334545,2004999,115651,0,0,31350,0.993333,1.00667,259
6,11,8,test,2004999,396599,334545,2004999,122213,0,0,34358,1.08667,1.1,208
6,11,9,test,2004999,396599,334545,2004999,128627,0,0,36164,1.09333,1.10667,224
6,11,10,test,2004999,396599,334545,2004999,134863,0,0,39766,1.1,1.11333,239
6,11,11,test,2004999,396599,334545,2004999,142655,0,0,41968,1.10667,1.12,254
6,11,12,test,2004999,396599,334545,2004999,234850,0,0,103996,1.11333,1.12667,270
6,12,4,test,2004999,396599,334545,2004999,92489,0,0,32903,1.06667,1.08,196
6,12,5,test,2004999,396599,334545,2004999,101449,0,0,30670,1.08,1.09333,222
6,12,6,test,2004999,396599,334545,2004999,109071,0,0,28864,1.09333,1.10667,248
6,12,7,test,2004999,396599,334545,2004999,115538,0,0,31319,1.14,1.15333,276
6,12,8,test,2004999,396599,334545,2004999,122084,0,0,34336,1.15667,1.17,302
6,12,9,test,2004999,396599,334545,2004999,128492,0,0,36119,1.17,1.18333,333
6,12,10,test,2004999,396599,334545,2004999,134722,0,0,39757,1.21667,1.23,316
6,12,11,test,2004999,396599,334545,2004999,142489,0,0,41932,1.23667,1.25,340
6,12,12,test,2004999,396599,334545,2004999,234701,0,0,103863,1.24333,1.25667,365
7,4,4,test,2004999,396599,334545,2004999,118433,0,0,44539,0.673333,0.686667,50
7,4,5,test,2004999,396599,334545,2004999,128876,0,0,41322,0.626667,0.64,51
7,4,6,test,2004999,396599,334545,2004999,138233,0,0,38572,0.63,0.643333,53
7,4,7,test,2004999,396599,334545,2004999,146472,0,0,36753,0.703333,0.716667,57
7,4,8,test,2004999,396599,334545,2004999,155086,0,0,40377,0.736667,0.75,61
7,4,9,test,2004999,396599,334545,2004999,162412,0,0,44061,0.74,0.753333,63
7,4,10,test,2004999,396599,334545,2004999,169690,0,0,46336,0.74,0.753333,64
7,4,11,test,2004999,396599,334545,2004999,175656,0,0,48469,0.67,0.683333,63
7,4,12,test,2004999,396599,334545,2004999,181904,0,0,50617,0.673333,0.686667,65
7,5,4,test,2004999,396599,334545,2004999,104696,0,0,38492,0.76,0.773333,55
7,5,5,test,2004999,396599,334545,2004999,114759,0,0,36168,0.76,0.773333,57
7,5,6,test,2004999,396599,334545,2004999,123308,0,0,34280,0.693333,0.706667,57
7,5,7,test,2004999,396599,334545,2004999,131054,0,0,32934,0.696667,0.71,59
7,5,8,test,2004999,396599,334545,2004999,138391,0,0,36586,0.733333,0.746667,63
7,5,9,test,2004999,396599,334545,2004999,145363,0,0,39585,0.723333,0.736667,66
7,5,10,test,2004999,396599,334545,2004999,151769,0,0,41408,0.723333,0.736667,68
7,5,11,test,2004999,396599,334545,2004999,157347,0,0,43675,0.726667,0.74,70
7,5,12,test,2004999,396599,334545,2004999,162707,0,0,44902,0.726667,0.74,71
7,6,4,test,2004999,396599,334545,2004999,100263,0,0,36028,0.713333,0.726667,57
7,6,5,test,2004999,396599,334545,2004999,109999,0,0,33708,0.72,0.733333,61
7,6,6,test,2004999,396599,334545,2004999,118205,0,0,31576,0.723333,0.736667,63
7,6,7,test,2004999,396599,334545,2004999,125162,0,0,30649,0.726667,0.74,66
7,6,8,test,2004999,396599,334545,2004999,131935,0,0,33033,0.84,0.853333,79
7,6,9,test,2004999,396599,334545,2004999,138496,0,0,35708,0.76,0.773333,74
7,6,10,test,2004999,396599,334545,2004999,144585,0,0,36983,0.763333,0.776667,76
7,6,11,test,2004999,396599,334545,2004999,149861,0,0,39894,0.766667,0.78,80
7,6,12,test,2004999,396599,334545,2004999,155232,0,0,41457,0.77,0.783333,83
7,7,4,test,2004999,396599,334545,2004999,98444,0,0,36359,0.823333,0.836667,74
7,7,5,test,2004999,396599,334545,2004999,108151,0,0,34115,0.746667,0.76,70
7,7,6,test,2004999,396599,334545,2004999,116336,0,0,32019,0.82,0.833333,78
7,7,7,test,2004999,396599,334545,2004999,123301,0,0,30361,0.823333,0.836667,84
7,7,8,test,2004999,396599,334545,2004999,130666,0,0,33745,0.863333,0.876667,91
7,7,9,test,2004999,396599,334545,2004999,136971,0,0,35026,0.86,0.873333,92
7,7,10,test,2004999,396599,334545,2004999,142936,0,0,36815,0.863333,0.876667,95
7,7,11,test,2004999,396599,334545,2004999,148253,0,0,40070,0.866667,0.88,99
7,7,12,test,2004999,396599,334545,2004999,153962,0,0,41395,0.866667,0.88,103
7,8,4,test,2004999,396599,334545,2004999,93238,0,0,33273,0.806667,0.82,80
7,8,5,test,2004999,396599,334545,2004999,102338,0,0,31135,0.803333,0.816667,84
7,8,6,test,2004999,396599,334545,2004999,110096,0,0,29312,0.806667,0.82,90
7,8,7,test,2004999,396599,334545,2004999,116445,0,0,28272,0.813333,0.826667,96
7,8,8,test,2004999,396599,334545,2004999,123255,0,0,30211,0.87,0.883333,110
7,8,9,test,2004999,396599,334545,2004999,129547,0,0,32077,0.853333,0.866667,111
7,8,10,test,2004999,396599,334545,2004999,135331,0,0,33367,0.856667,0.87,118
7,8,11,test,2004999,396599,334545,2004999,140355,0,0,36526,0.87,0.883333,125
7,8,12,test,2004999,396599,334545,2004999,145622,0,0,37776,0.866667,0.88,140
